city,longitude,latitude,median_temp_f,median_pres_psi,median_humid_%,median_wind_mph,max_prec_in,median_cloud_%,latitude_predict
Silver City,-95.637226,41.1133311,55.14977049,14.76930672,44.62295082,6.19661224,0.038692397,6.480874317,33.853354730999996
Soledad,-121.3271861,36.426921,56.70834426,14.74766991,70.87295082,4.69494959,0.041596747,7.075136612,36.71732006099997
Southbridge,-72.0304472,42.0641046,50.00531148,14.73756479,73.38797814,5.825490273,0.100555054,43.15163934,42.038104399999966
Spring Hill,-93.6479872,41.4117626,72.43591803,14.76633463,80.20901639,6.629526749,0.16282647,18.25409836,30.472422942000012
St. Anthony,-93.2187368,45.0283001,45.59757377,14.73243299,72.96584699,7.735986066,0.08122499,33.50546448,44.00779235349999
Statesboro,-81.7832912,32.4490141,66.32919672,14.77715305,77.6215847,5.690047869,0.111419474,16.76502732,32.87161494
Sterling,-89.6962194,41.788642,55.68608197,14.76710738,72.1489071,6.530573115,0.14034465,44.79508197,41.57209504600003
Tehachapi,-118.4489739,35.1321878,58.68519672,14.74654051,48.0068306,6.219165601,0.035497612,3.606557377,35.22084817499998
Tucumcari,-103.7250405,35.1719425,57.99770492,14.73621745,47.49453552,9.282449836,0.042726217,1.465846995,34.72994741899998
Ukiah,-123.2077861,39.1501662,57.08216393,14.73728741,68.08060109,3.470406011,0.053698206,9.613387978,38.050869380999984
Uvalde,-99.7861679,29.2096836,69.11786885,14.73762424,67.2226776,7.131018142,0.072275289,16.0204918,30.839666420999976
Vicksburg,-90.8777342,32.3528055,65.89670492,14.773111,79.16666667,5.49195724,0.122724926,17.71174863,32.57822386599999
Victoria,-123.3649533,48.4283182,71.13854098,14.74517336,78.69672131,7.952962842,0.092455144,34.96857923,39.39646965200001
Watertown,-71.1828321,42.3709299,46.81109836,14.73066956,76.86612022,7.317984891,0.081418614,50.95491803,43.16340269499999
Wharton,-96.0982384,29.3124797,52.63591803,14.75355464,73.68715847,4.932585,0.116303085,41.8784153,40.870186356999994
Winnemucca,-117.7348184,40.9724275,49.89131148,14.75737874,48.13934426,4.971090738,0.022137602,9.155737705,41.21956575099999
Yankton,-97.3967011,42.8712938,48.9527541,14.73538526,73.51092896,9.712308333,0.058183813,13.99590164,41.97261237100001
Yonkers,-73.8987469,40.9312099,53.9417541,14.75147418,67.26775956,6.885620464,0.155318188,35.23770492,40.731910316
